,country_name,year,population,gdp,rural_population_percent,electricity_access_percent,project_cost,gdp_per_capita
79,Azerbaijan,1995,0.23921109032674814,0.051402440245525,0.4704797256770368,0.9730482234015023,0.15646067415730336,0.040427854735578264
80,Azerbaijan,1996,0.24164473258588695,0.053516793302592465,0.4739879813949278,0.9756724634866369,0.023033707865168538,0.04213713011366624
81,Azerbaijan,1997,0.2439903179845446,0.06690727327182686,0.47747360320496135,0.9781437189129562,0.09250936329588015,0.05587009799996515
82,Azerbaijan,1998,0.24632031809816132,0.07514784482536802,0.4809818589228524,0.9802742115032254,0.050187265917602995,0.06390222525961042
83,Azerbaijan,1999,0.2484944653613689,0.07744807924612075,0.4820343356382196,0.969996999700037,0.06161048689138576,0.06561320433426152
84,Azerbaijan,2000,0.2505470474012574,0.08922736264935686,0.47975962789855486,0.9890811326100444,0.04387640449438202,0.07718847504964951
85,Azerbaijan,2001,0.2524983250883799,0.0966371673565186,0.4774849201588901,0.9859164078029207,0.05594569288389513,0.08411083291132956
86,Azerbaijan,2002,0.254391937220851,0.10563402309857134,0.475221529373154,1.0,0.08198501872659175,0.0925762486592405
87,Azerbaijan,2003,0.2563291881514367,0.12335630823778214,0.4729468216334892,0.9890171512268663,0.05626404494382022,0.10976257474602699
88,Azerbaijan,2004,0.2585859374253611,0.14728420316472424,0.47067211389382435,0.9905340265472068,0.03192883895131086,0.1327655413264097
89,Azerbaijan,2005,0.26124634558184523,0.2250626690824018,0.46840872310808823,0.9921089673664812,0.11502808988764045,0.20879429174284905
90,Azerbaijan,2006,0.2641358574284308,0.3568832287792087,0.4661453323223522,0.9949994999500061,0.4086423220973783,0.33632299920055037
91,Azerbaijan,2007,0.26715161008384775,0.5624758681946234,0.46387062458268735,0.995620976282208,0.326376404494382,0.5327955679383988
93,Azerbaijan,2009,0.27855826201130257,0.7539922808880684,0.4593438430112152,0.9988472357978013,0.21418539325842695,0.6894279868759001
94,Azerbaijan,2010,0.28189628719079557,0.9007022800852604,0.4569559657322635,0.999656719211961,0.33347378277153555,0.8166476027705896
99,Azerbaijan,2016,0.3038241598319607,0.6445465090690063,0.4400484365628148,1.0,0.21912921348314607,0.5369721489162775
127,Belarus,1993,0.318823843372748,0.6194860157694531,0.3013025813971911,1.0,0.12106741573033707,0.4904970626332962
128,Belarus,1994,0.31844831592968714,0.30253514838396184,0.29693423718072054,1.0,0.05121722846441947,0.23180156291203674
129,Belarus,1997,0.3150270029869355,0.23976789241221494,0.2839650079784525,1.0,0.014700374531835205,0.1825860814903999
130,Belarus,2001,0.309146129456022,0.209884395645846,0.26392268257075924,1.0,0.03814606741573034,0.16118135751710844
131,Belarus,2006,0.29905855371329004,0.6289881271468671,0.2372373052069305,1.0,0.05754681647940075,0.5322248692113876
132,Belarus,2007,0.29768795257622194,0.7707893066980841,0.23206545726152353,1.0,0.017696629213483146,0.6588333384297498
134,Belarus,2009,0.2959648746326685,0.83778125211373,0.2218915156796397,1.0,0.36807116104868914,0.7217225753865233
135,Belarus,2010,0.29538932564139253,0.9742988811876989,0.2168781050892342,1.0,0.28366104868913855,0.8435501182854493
138,Belarus,2015,0.2950195335832268,0.9612185477527259,0.1936557156275817,1.0,0.29780898876404494,0.8330768991842727
139,Belarus,2016,0.29533468363203913,0.8124493843320251,0.18936659008861176,1.0,0.12640449438202248,0.7009517354920023
140,Belize,1991,0.005552413648676224,0.006970975489582294,0.5259327999275716,0.8818846270616031,0.011797752808988763,0.3195751867963356
141,Belize,1993,0.005773802622682416,0.0089325832932281,0.5249255910279189,0.8863424703068548,0.026217228464419474,0.39117956244396695
142,Belize,1994,0.0059031137326668835,0.009290455008690846,0.524427645055057,0.8884948614492851,0.026217228464419474,0.3976988811012855
143,Belize,1997,0.006505220049652536,0.010541840250014107,0.5229111732286138,0.8942791312825056,0.010955056179775281,0.4089807199567065
144,Belize,2000,0.007268867846087268,0.013570320772183267,0.5218926473750326,0.8984264271155945,0.017228464419475654,0.47016949121918944
145,Belize,2001,0.007508304580170839,0.014248195014134237,0.524959541889705,0.8994003404248924,0.0015355805243445692,0.4778638620714703
146,Belize,2002,0.007743782651854016,0.015282197225516441,0.5280151194504488,0.9002507977850794,0.00100187265917603,0.49684772320397586
147,Belize,2007,0.008949881105315272,0.021381842140104367,0.5433043242080962,0.9047730395600277,0.00018726591760299624,0.6015573723398276
148,Belize,2009,0.009456714574845815,0.022172087908191536,0.549404162375655,0.9077188907857687,0.00046816479400749064,0.59062595362096
149,Belize,2010,0.009700063215474654,0.023196974425248776,0.5524484229824701,0.8991621599640198,0.014728464419475654,0.6025483360800865
150,Belize,2011,0.009934091855649028,0.02472847496092568,0.5552210766949968,0.9168090407595969,0.0028089887640449437,0.6273470452332389
151,Belize,2012,0.010168338689813974,0.026204988292726637,0.5577334404671639,0.9134145744898695,0.0026217228464419473,0.6496608707088467
152,Belize,2014,0.010640089682717417,0.02842459384213685,0.561943347328633,0.9177123370297848,0.042134831460674156,0.6737877697742389
153,Belize,2015,0.010875895045386455,0.02969584262521037,0.5636522073718638,0.9179917991801012,0.006844569288389513,0.6888504455549411
154,Belize,2016,0.01111135753178459,0.030404431330723715,0.565100777474735,0.9221353867566227,0.0006273408239700374,0.6904916089735477
155,Benin,1990,0.157264674625147,0.03278633037740106,0.671027466247185,0.07302002344759302,0.0023408239700374533,0.03906363711540077
